,word,reading,meaning
34,へ,へ,"1. indicates direction or goal (e.g. ""to"")$2. He (kana)$"
35,又,また,1. again; and; also; still (doing something)$
36,又,また,1. Mata$
37,これ,これ,1. hey; oi; yo$
38,行う,おこなう,1. to perform; to do; to conduct oneself; to carry out$
39,よう,よう,1. (I) will; (I) shall$2. let's$3. (I) wonder (if); might it be (that); maybe; perhaps; perchance$4. hey; yo; hi$5. come on; hey$6. Carbuncle$
40,出来る,できる,1. to be able (in a position) to do; to be up to the task$2. to be ready; to be completed$3. to be made; to be built$4. to be good at; to be permitted (to do)$5. to become intimate; to take up (with somebody)$6. to grow; to be raised$7. to become pregnant$
41,駅,えき,1. railway station; train station$2. staging post on a highway (in pre-modern Japan)$
42,駅,えき,1. Eki$
43,国,くに,"1. country; state$2. region$3. national government; central government$4. home (i.e. hometown, home country)$5. province (of Japan)$6. land; earth$"
44,国,くに,1. Kuni$
45,より,より,1. than$2. from; out of; since; at; on$3. except; but; other than$4. more$5. Yori (kana)$
46,大学,だいがく,1. university; college$2. former central university of Kyoto (established under the ritsuryo system for the training of government administrators)$3. the Great Learning (one of the Four Books)$4. University$
47,大学,だいがく,1. Daigaku$
48,現在,げんざい,1. now; current; present; present time; as of$2. Present$
49,後,あと,1. behind; rear$2. after; later$3. after one's death$4. remainder; the rest$5. descendant; successor; heir$6. more (e.g. five more minutes); left$7. also; in addition$8. past; previous$
50,後,のち,1. later; afterwards; since$2. future$3. after one's death$4. descendant$
51,後,ご,1. after$
52,後,ご,1. Go$
53,か,か,"1. yes?; no?; isn't it?; is it?$2. or; whether or not$3. some- (e.g. something, someone)$4. hmm; huh$5. very$6. -al; -ial; -ic; -ical; -ish; -y$7. in that way$8. Ka (kana)$"
54,線,せん,1. line; stripe; stria$2. line (e.g. telephone line); wire$3. ray (e.g. X-ray); beam$4. line (e.g. of a railroad); track; route; lane$5. outline; contours; form$6. level$7. division$8. line (of action); position; approach; policy; principle$9. impression one leaves; air one gives off$
55,線,せん,1. Sen$
56,ぬ,ぬ,1. not$2. indicates completion$3. Nu (kana)$
57,放送,ほうそう,1. broadcast; broadcasting$2. Broadcasting$
58,号,ごう,"1. number; edition; make; model; issue; part of that group$2. sobriquet; pen-name$3. suffix attached to names of ships, trains, airplanes, etc.$"
59,号,ごう,1. Gou$
60,軍,ぐん,1. army; force; troops$
61,軍,ぐん,1. Gun$
62,無い,ない,1. nonexistent; not being (there)$2. unowned; not had; unpossessed$3. unique$4. not; impossible; won't happen$5. not$6. to not be; to have not$
63,部,ぶ,1. department (in an organization); division; bureau$2. club$3. part; component; element$4. category$5. counter for copies of a newspaper or magazine$
64,部,べ,1. hereditary occupational group (Yamato period)$
65,持つ,もつ,1. to hold (in one's hand); to take; to carry$2. to possess; to have; to own$3. to maintain; to keep$4. to last; to be durable; to keep; to survive$5. to take charge of; to be in charge of$
66,所,ところ,1. place; spot; scene; site$2. address$3. district; area; locality$4. one's house$5. point; aspect; side; facet$6. passage (in text); part$7. space; room$8. thing; matter$9. whereupon; as a result$10. about to; on the verge of$11. was just doing; was in the process of doing; have just done; just finished doing$
67,所,しょ,1. counter for places$
68,所,ところ,1. Tokoro$
69,名,な,1. name; given name$2. title$3. fame; renown; reputation$4. pretext; pretense; justification; appearance$
70,名,めい,"1. counter for people (usu. seating, reservations and such)$2. first name$3. famous; great$4. name$5. noun$"
71,回,かい,1. counter for occurrences$2. a time; an instance$3. inning (baseball); round; game$4. episode; chapter; instalment$5. Hui (people)$6. Islam$
72,世界,せかい,1. the world; society; the universe$2. sphere; circle; world$3. renowned; world-famous; well-known outside of Japan$4. realm governed by one Buddha; space$5. World$
73,世界,せかい,1. Sekai$
74,時,とき,1. time; hour; moment$2. occasion; case$3. chance; opportunity; season$4. the times; the age; the day$5. tense$6. Autumn$
75,時,じ,1. hour; o'clock$2. (specified) time; when ...; during ...$
76,時,どき,1. time for ...; time to ...; good opportunity to ...$2. season$
77,時,とき,1. Toki$
78,戦,いくさ,1. war; battle; campaign; fight$2. troops; forces$
79,戦,せん,1. war; battle$2. match; game; competition$
80,時代,じだい,1. period; epoch; era; age$2. the times; those days$3. oldness; ancientness; antiquity$4. antique; period piece$
81,時代,じだい,1. Jidai$
82,東京,とうきょう,1. Tokyo$
83,東京,とうきょう,1. Tokyo$
84,でも,でも,1. but; however; though; nevertheless; still; yet; even so; also; as well$2. even$3. however; no matter how; even if; even though$4. ... or something$5. either ... or ...; neither ... nor ...$6. pseudo-; quack; in-name-only$7. for lack of anything better to do$
85,呼ぶ,よぶ,"1. to call out (to); to call; to invoke$2. to summon (a doctor, etc.)$3. to invite$4. to designate; to name; to brand$5. to garner (support, etc.); to gather$6. to take as one's wife$"
86,その後,そのあと,1. after that; afterwards; thereafter$
87,会,え,"1. gathering (esp. Buddhist, festive, etc.)$"
88,会,かい,1. meeting; assembly; party$2. association; club$
89,会,かい,1. Kai$
90,それ,それ,1. there!$
91,機,はた,1. loom$
92,機,き,1. chance; opportunity$2. machine$3. aircraft$4. counter for aircraft$5. counter for remaining lives (in video games)$
93,機,き,1. Ki$
94,会う,あう,1. to meet; to encounter; to see$2. to have an accident; to have a bad experience$
95,受ける,うける,"1. to receive; to get$2. to catch (e.g. a ball)$3. to be struck by (wind, waves, sunlight, etc.)$4. to sustain (damage); to incur (a loss); to suffer (an injury); to feel (influence)$5. to undergo (e.g. surgery); to take (a test); to accept (a challenge)$6. to be given (e.g. life, talent)$7. to find funny; to find humorous; to be amused (by)$8. to follow; to succeed; to be descended from$9. to face (south, etc.)$10. to be modified by$11. to obtain (a pawned item, etc.) by paying a fee$12. to be well-received; to become popular; to go down well$"
96,多い,おおい,1. many; numerous; a lot$2. large quantity; large amount$3. frequent; common$
97,選手,せんしゅ,1. player (sports); athlete; team member$
98,場合,ばあい,1. case; situation$
99,場合,ばあい,1. Baai$
100,対する,たいする,"1. to face (each other); to be facing$2. to be directed toward (the future, etc.); to be in response to; to be related to$3. to receive (a client, etc.)$4. to compare with; to contrast with; to be in opposition with; to be opposed to$5. to confront; to oppose; to compete with$"
101,昭和,しょうわ,1. Shōwa era (1926.12.25-1989.1.7)$2. reminiscent of the Shōwa era; Shōwa-nostalgic; old-fashioned; quaint; oldschool$3. Shōwa period$
102,昭和,しょうわ,1. Shouwa$
103,作品,さくひん,"1. work (e.g. book, film, composition, etc.); opus; performance; production$2. Work of art$"
104,地,ち,"1. earth; ground; land; soil$2. place$3. territory$4. bottom (of a package, book, etc.)$5. earth (one of the five elements)$"
105,地,じ,1. ground; land; earth; soil$2. the region in question; the local area$3. skin$4. texture; fabric; material; weave$5. base; background$6. one's true nature$7. narrative (i.e. descriptive part of a story)$8. real life; actuality$9. captured territory (in the game of go)$10. noh chorus$11. accompaniment music (in Japanese dance)$12. basic phrase (in Japanese music; usu. repetitive)$13. base part (of multiple shamisens)$
106,地,ち,1. Chi$
107,中,なか,1. inside; in$2. among; within$3. center (centre); middle$4. during; while$5. Naka$
108,中,ちゅう,"1. medium; average; middle$2. moderation$3. middle school$4. China$5. volume two (of three)$6. during (a certain time when one did or is doing something); under (construction, etc.); while$7. in; out of; of the$"
109,中,じゅう,1. through; throughout; in the course of$2. all over or throughout (e.g. a place)$
110,中,チュン,1. red dragon tile$2. winning hand with a pung (or kong) of red dragon tiles$
111,中,ちゅう,1. Chuu$
112,使用,しよう,1. use; application; employment; utilization; utilisation$
113,共に,ともに,1. together; jointly$2. at the same time; with; as ...; including; along with$3. both$
114,学校,がっこう校,1. school$2. Gakkou$3. School$
115,語,ご,1. language$2. word$3. Word$
116,彼,あれ,"1. that (indicating something distant from both speaker and listener (in space, time or psychologically), or something understood without naming it directly)$2. that person$3. over there$4. down there (i.e. one's genitals)$5. period; menses$6. hey; huh?; eh?$"
117,彼,かれ,1. he; him$2. boyfriend$
118,行く,いく,1. to go; to move (in a direction or towards a specific location); to head (towards); to be transported (towards); to reach$2. to proceed; to take place$3. to pass through; to come and go$4. to walk$5. to die; to pass away$6. to do (in a specific way)$7. to stream; to flow$8. to continue$9. to have an orgasm; to come; to cum$10. to trip; to get high; to have a drug-induced hallucination$
119,当時,とうじ,1. at that time; in those days$2. Touji$
120,番組,ばんぐみ,1. program (e.g. TV); programme$2. Bangumi$
121,車,くるま,1. car; automobile; vehicle$2. wheel$
122,車,しゃ,1. car; vehicle$
123,車,くるま,1. Kuruma$
124,社,やしろ,1. shrine (usually Shinto)$
125,社,しゃ,"1. company; association; society$2. regional Chinese god of the earth (or a village built in its honour)$3. counter for companies, shrines, etc.$"
126,川,かわ,1. river; stream$2. River; the ... river$3. Gawa$4. River$
127,川,かわ,1. Kawa$
128,映画,えいが,1. movie; film$2. Film$
129,位,くらい,"1. throne; crown; (nobleman's) seat$2. government position; court rank$3. social standing; rank; class; echelon; rung$4. grade (of quality, etc.); level; tier; rank$5. position of a figure (e.g. tens, thousands); digit; (decimal) place$6. degree; extent; amount$"
130,位,い,1. rank; place (e.g. first place)$2. decimal place$3. counter for ghosts$
131,位,くらい,1. Kurai$
132,見る,みる,"1. to see; to look; to watch; to view; to observe$2. to examine; to look over; to assess; to check; to judge$3. to look after; to attend to; to take care of; to keep an eye on$4. to experience; to meet with (misfortune, success, etc.)$5. to try ...; to have a go at ...; to give ... a try$6. to see (that) ...; to find (that) ...$"
133,テレビ,テレビ,1. television; TV$2. TV program; TV programme; TV broadcast$3. Television$
134,系,けい,1. system; lineage; group$2. corollary$3. system (range of strata that correspond to a particular time period)$4. (taxonomical) series$
135,系,けい,1. Kei$
136,研究,けんきゅう,1. study; research; investigation$2. Research$
137,町,まち,1. town; block; neighbourhood; neighborhood$2. downtown; main street$3. street; road$4. 109.09 m$5. 0.99 hectares$
138,町,まち,1. Machi$
139,東,あずま,"1. eastern Japan (esp. Kamakura or Edo, from perspective of Kyoto or Nara); eastern provinces$2. east$3. wagon; yamatogoto; six-stringed native Japanese zither$4. my spouse$5. East$"
140,東,ひがし,1. east$
141,東,ひがし,1. Higashi$
142,東,トン,1. east wind tile$2. winning hand with a pung (or kong) of east wind tiles$
143,存在,そんざい,1. existence; being$2. Existence$
144,活動,かつどう,"1. activity (of a person, organization, animal, volcano, etc.); action$2. movie (esp. during the silent movie period)$"
145,発売,はつばい,1. sale; offering for sale; release (for sale); launch (product)$
146,他,ほか,"1. other (place, thing, person); the rest$2. outside; beyond$3. nothing except; nothing but; nothing apart from; nothing aside from; no choice (but to)$4. besides...; in addition to...$"
147,他,た,1. other (esp. people and abstract matters)$
148,出身,しゅっしん,"1. person's origin (e.g. city, country, parentage, school)$"
149,年代,ねんだい,1. age; era; period; date$
150,年代,ねんだい,1. Nendai$
151,会社,かいしゃ,1. company; corporation$2. workplace$3. Company$
152,権,けん,1. right (to do something)$2. authority; power$
153,権,けん,1. Ken$
154,開発,かいはつ,1. development; exploitation$
155,開発,かいはつ,1. Kaihatsu$
156,分,ふん,"1. minute (unit of time)$2. fun (one tenth of a monme, 5.787 grains)$3. Minute$"
157,分,ぶ,"1. one-tenth; one percent (one-tenth of a wari); 3 mm (one-tenth of a sun); 2.4 mm (one-tenth of a mon, a traditional unit used to measure shoe sizes); 0.1 degree (one-tenth of a do, used to measure body temperature on any temperature scale)$2. one-quarter of a ryou (obsolete unit of currency)$3. thickness$4. advantageous circumstances$5. one-tenth of a monme of silver$"
158,分,ぶん,1. part; segment; share; ration$2. rate$3. degree; one's lot; one's status; relation; duty; kind; lot$4. relationship; connection; correspondence$5. in proportion to; just as much as$
159,西,にし,1. west$2. West$
160,西,せい,1. Spain$2. Spanish (language)$
161,西,にし,1. Nishi$
162,西,シャー,1. west wind tile$2. winning hand with a pung (or kong) of west wind tiles$
163,鉄道,てつどう,1. railroad; railway; rail transport$2. Rail transport$
164,鉄道,てつどう,1. Tetsudou$
165,法,ほう,1. law; act; principle$2. method$3. mood$4. dharma$
166,局,きょく,"1. bureau; department$2. office (e.g. post, telephone); broadcasting station (e.g. television, radio); channel; exchange$3. affair; situation$4. game (of go, shogi, etc.)$"
167,局,つぼね,1. court lady; lady-in-waiting (Heian period)$2. separate room in a palace (esp. for a lady) (Heian period)$3. room for a very low class prostitute$4. very low class prostitute$
168,更に,さらに,1. furthermore; again; after all; more and more; moreover; even more$
169,のみ,のみ,1. only; nothing but$
170,間,あいだ,"1. space (between); gap; interval; distance$2. time (between); pause; break$3. span (temporal or spatial); stretch; period (while)$4. relationship (between, among)$5. members (within, among)$6. due to; because of$7. Ma (negative space)$"
171,間,ま,1. time; pause$2. space$3. room$
172,間,かん,1. interval; period of time$2. among; between; inter-$
173,間,けん,1. 1.818 m (6 shaku)$2. counter used to number the gaps between pillars$
174,間,はざま,1. Hazama$
175,山,やま,1. mountain; hill$2. mine (e.g. coal mine)$3. heap; pile$4. crown (of a hat); thread (of a screw); tread (of a tire); protruding part of an object$5. climax; peak; critical point$6. guess; speculation$7. criminal case; crime$8. mountain climbing; mountaineering$9. festival float (esp. one mounted with a decorative halberd)$10. wall; wall tile$11. temple; temple grounds$12. wild$13. Mountain$
176,山,さん,1. Mt.; Mount$2. Mt.; Mount$3. San$
177,山,むれ,1. mountain; hill$
178,山,やま,1. Yama$
179,式,しき,1. equation; formula; expression$2. ceremony$3. style$4. enforcement regulations (of the ritsuryo)$5. Expression$
180,式,しき,1. Shiki$
181,島,しま,"1. island$2. territory (of a prostitute, organized crime gang, etc.); turf$3. Island$"
182,島,とう,1. Island$2. insula; island; islet$
183,島,しま,1. Shima$
184,可能,かのう,1. possible; potential; practicable; feasible$
185,可能,かのう,1. Kanou$
186,代表,だいひょう,1. representative; representation; delegation; type; example; model$2. switchboard number; main number$
187,使う,つかう,"1. to use (a thing, method, etc.); to make use of; to put to use$2. to use (a person, animal, puppet, etc.); to employ; to handle; to manage; to manipulate$3. to use (time, money, etc.); to spend; to consume$4. to use (language); to speak$"
188,同じ,おなじ,1. same; identical; equal; uniform; equivalent; similar; common (origin); changeless; alike$2. anyway; anyhow; in either case$
189,曲,きょく,1. composition; piece of music; song; track (on a record)$2. tune; melody; air$3. enjoyment; fun; interest; pleasure$
190,曲,くせ,1. long segment of a noh play forming its musical highlight$2. wrong; improper; indecent$
191,曲,きょく,1. Kyoku$
192,地域,ちいき,1. area; region$2. Region$
193,作,さく,1. work (e.g. of art); production$2. harvest; cultivation; farming; crop; yield$3. technique$
194,作,さく,1. Saku$
195,事,こと,"1. thing; matter$2. incident; occurrence; event; something serious; trouble; crisis$3. circumstances; situation; state of affairs$4. work; business; affair$5. after an inflectable word, creates a noun phrase indicating something the speaker does not feel close to$6. nominalizing suffix$7. pretending to ...; playing make-believe ...$8. alias; aka; nickname; alternative name; also known as$"
196,事,じ,1. individual concrete phenomenon (as opposed to a general principle)$
197,事,ごと,1. nominalizing suffix$2. pretending to ...; playing make-believe ...$
198,事,こと,1. Koto$
199,版,はん,1. edition; version; printing; impression; implementation (e.g. software)$2. plate; block; cast$3. editions of a publication$
200,取る,とる,"1. to take; to pick up; to harvest; to earn; to win; to choose$2. to steal$3. to eat; to have (a meal)$4. to remove (one's glasses, etc.)$5. to compete (in sumo, cards, etc.); to play$"
201,登場,とうじょう,1. entry (on stage); appearance (on screen)$2. entrance; introduction (into a market)$
202,チーム,チーム,1. team$2. Team$
203,世,よ,1. world; society; public$2. life; lifetime$3. age; era; period; epoch; generation$4. reign; rule$5. the times$6. world (of existence)$7. Series (stratigraphy)$
204,世,せい,1. counter for generations$2. epoch$
205,時間,じかん,1. time$2. hour$3. period; class; lesson$4. Time$
206,於ける,おける,1. in; at; for$
207,中心,ちゅうしん,1. center; centre; middle; heart; core; focus; pivot; emphasis; balance$2. -centered; -centred; -focused; -oriented; centered on; focused on$3. Centre (geometry)$
208,大会,たいかい,1. mass meeting; convention; rally; conference; assembly; gathering$2. tournament; competition; contest; meet$3. grand event$
209,多く,おおく,1. many; much; largely; abundantly; mostly$
210,南,みなみ,1. south$2. South$
211,南,みなみ,1. Minami$
212,南,ナン,1. south wind tile$2. winning hand with a pung (or kong) of south wind tiles$
213,シリーズ,シリーズ,1. series$2. Series$
214,賞,しょう,1. prize; award$2. Award$
215,北,きた,1. north$2. the North; northern territories$3. North Korea$4. north wind$5. North$
216,北,きた,1. Kita$
217,北,ペー,1. north wind tile$2. winning hand with a pung (or kong) of north wind tiles$3. Kitaichi$
218,開始,かいし,1. start; commencement; beginning; initiation$
219,一部,いちぶ,1. one part; one portion; one section; some$2. one copy (e.g. of a document)$
220,一部,いちぶ,1. Ichibu$
221,始める,はじめる,"1. to start; to begin; to commence; to initiate; to originate$2. to start up (a business, society, etc.); to open (e.g. a store); to establish$3. to start ...; to begin to ...$"
222,平成,へいせい,1. Heisei era (1989.1.8-2019.4.30)$2. Heisei (reign of emperor)$3. Heisei period$
223,知る,しる,1. to be aware of; to know; to be conscious of; to cognize; to cognise$2. to notice; to feel$3. to understand; to comprehend; to grasp$4. to remember; to be acquainted with (a procedure)$5. to experience; to go through; to learn$6. to be acquainted with (a person); to get to know$7. to concern$
224,子,こ,"1. child$2. young (animal)$3. young woman; young geisha$4. offshoot$5. interest$6. new shares$7. player who is not a dealer (in cards, mahjong, etc.)$8. bird egg$9. -er (often of young women)$"
225,子,ね,"1. first sign of the Chinese zodiac (The Rat, 11pm-1am, north, November)$2. Ne$"
226,子,し,1. child (esp. a boy)$2. viscount$3. founder of a school of thought (esp. Confucius); master$4. masters and philosophers (categorization of Chinese classical literature)$5. you$6. -er (i.e. man who spends all his time doing...)$
227,子,こう,1. child$2. interest$
228,子,こ,1. Ko$
229,ゲーム,ゲーム,1. game$2. Game$
230,道,みち,"1. road; path; street; lane; passage$2. route; way$3. distance; journey$4. road (e.g. to victory); course$5. way (of living, proper conduct, etc.); moral principles$6. teachings (esp. Confucian or Buddhist); dogma$7. field (e.g. of medicine); subject; speciality$8. means; way; method$9. Diameter$"
231,道,どう,"1. road; path; street; route$2. way; set of practices; rules for conducting oneself$3. Buddhist teachings$4. Taoism$5. modern administrative region of Japan (Hokkaido)$6. historical administrative region of Japan (Tokaido, Tosando, etc.)$7. province (Tang-era administrative region of China)$8. province (modern administrative region of Korea)$"
232,道,みち,1. Michi$
233,角,かく,"1. angle$2. square; cube$3. bishop$4. third degree (of the Japanese and Chinese pentatonic scale)$5. Chinese ""horn"" constellation (one of the 28 mansions)$6. jiao (monetary unit of China; one-tenth of a yuan)$7. Horn (anatomy)$"
234,角,かど,"1. corner; edge$2. (street) corner; turning$3. rough edges (of one's character, words, etc.); abrasiveness; harshness; sharpness$"
235,角,つの,1. horn; antler$2. antenna; feeler; tentacle (e.g. of a snail)$3. horn-like projection (e.g. peaks of whipped cream)$
236,角,かく,1. Kaku$
237,用いる,もちいる,1. to use; to make use of; to utilize; to utilise$
238,館,やかた,"1. mansion; palace; manor house; castle$2. nobleman; noblewoman; dignitary$3. cabin (on a boat, carriage, etc.)$"
239,館,かん,1. house; hall; building$
240,館,たち,1. Tachi$
241,場,ば,"1. place; spot; space$2. field; discipline; sphere; realm$3. occasion; situation$4. scene (of a play, movie, etc.)$5. session (of the stock market)$6. area in which cards are laid out (in a card game)$7. round (i.e. east, south, etc.)$8. field$9. field (gestalt psychology)$10. Field (physics)$"
242,場,じょう,1. place; spot; grounds; arena; stadium; range; course$
243,場,ば,1. Ba$
244,体,からだ,1. body$2. torso; trunk$3. build; physique; constitution$4. health$5. corpse; dead body$
245,体,たい,"1. body; physique; posture$2. shape; form; style$3. substance; identity; reality$4. field$5. counter for humanoid forms (e.g. dolls, statues, corpses, etc.)$6. typeface; type$"
246,体,てい,1. appearance; air; condition; state; form$2. Voice (grammar)$
247,世紀,せいき,1. century$2. era$3. Century$
248,世紀,せいき,1. Seiki$
249,音楽,おんがく,1. music$2. Music$
250,音楽,おんがく,1. Ongaku$
251,参加,さんか,1. participation; joining; entry; adherence$
252,発表,はっぴょう,1. announcement; publication; presenting; statement; communique; making known; breaking (news story); expressing (one's opinion); releasing; unveiling$
253,記録,きろく,1. record; minutes; document$2. record (e.g. in sports); results; score$3. to record; to document$4. to set a record (e.g. in sports); to show a result; to reach a value$5. Recording$
254,記録,きろく,1. Kiroku$
255,掛ける,かける,"1. to hang up (e.g. a coat, a picture on the wall); to let hang; to suspend (from); to hoist (e.g. sail); to raise (e.g. flag)$2. to put on (e.g. a blanket); to put on top of; to cover; to lay; to spread$3. to put on (glasses, etc.); to wear (a necklace, etc.)$4. to make (a call)$5. to spend (time, money); to expend; to use$6. to pour (liquid) onto; to sprinkle (powder or spices) onto; to splash; to throw (e.g. water) onto$7. to turn on (an engine, radio, etc.); to set (a dial, an alarm clock, etc.); to put on (a DVD, a song, etc.)$8. to cause (somebody inconvenience, trouble, etc.); to burden (someone); to impose$9. to multiply (arithmetic operation)$10. to secure (e.g. lock)$11. to take a seat; to sit; to rest (something on something else); to support (something on something else)$12. to bind$13. to wager; to bet; to risk; to stake; to gamble$14. to put an effect (spell, anaesthetic, etc.) on$15. to hold (a play, festival, etc.)$16. to hold an emotion for (pity, hope, etc.)$17. to argue (in court); to deliberate (in a meeting); to present (e.g. idea to a conference, etc.)$18. to increase further$19. to catch (in a trap, etc.)$20. to set atop$21. to erect (a makeshift building)$22. to apply (insurance)$23. to pun (on a word); to use (a word) as a pivot word; to play on words$24. to be partway doing ...; to begin (but not complete) ...; to be about to ...$25. to address (someone); to direct (something, to someone); to do (something, to someone)$"
256,高い,たかい,"1. high; tall$2. expensive; high-priced$3. high (level); above average (in degree, quality, etc.)$4. loud$5. high-pitched; shrill$"
257,利用,りよう,1. use; utilization; utilisation; application$
258,際,きわ,1. edge; brink; verge; side$2. time; moment of$
259,際,さい,1. on the occasion of; circumstances; juncture$
260,出場,しゅつじょう,1. (stage) appearance; performance$2. participation (e.g. in a tournament)$
261,出場,でば,1. one's time (e.g. to go on stage); one's turn$2. source; origin; place of production$
262,国際,こくさい,1. international$2. diplomatic intercourse$3. International$
263,リーグ,リーグ,1. league$2. League$
264,所属,しょぞく,"1. belonging to (a group, organization, etc.); affiliation (with); being attached to; being under the control of$"
265,関係,かんけい,1. relation; relationship; connection$2. participation; involvement; concern$3. influence; effect$4. sexual relations; sexual relationship$5. related to; connected to$6. Relation$
266,考える,かんがえる,"1. to think (about, of); to think over; to ponder; to contemplate; to reflect (on); to meditate (on)$2. to consider; to bear in mind; to allow for; to take into consideration$3. to think (that); to believe; to hold (a view); to judge; to conclude; to suspect$4. to intend (to do); to think of (doing); to plan$5. to predict; to anticipate; to expect; to imagine$6. to come up with; to think up; to contrive; to devise$7. to consider (as); to regard (as); to look on (as); to take; to view$"
267,生まれる,うまれる,1. to be born$
268,入る,いる,1. to get in; to go in; to come in; to flow into; to set; to set in$
269,入る,はいる,1. to enter; to go into$2. to break into$3. to join; to enroll$4. to contain; to hold; to accommodate$5. to have (an income of)$6. to get; to receive; to score$
270,度,たび,"1. time (three times, each time, etc.); times$2. Degree$"
271,度,ど,"1. degree (angle, temperature, scale, etc.)$2. counter for occurrences$3. strength (of glasses); glasses prescription$4. alcohol content (percentage); alcohol by volume$5. extent; degree; limit$6. presence of mind; composure$"
272,州,しゅう,"1. state (US, Australia, India, Germany, etc.); province (e.g. Canada); canton (e.g. Switzerland); oblast (e.g. Russia); department (e.g. ancient China)$2. continent$3. dear$4. Zhou (country subdivision)$"
273,州,す,1. sandbank; sandbar$
274,州,しゅう,1. Shuu$
275,全て,すべて,1. everything; all; the whole$2. entirely; completely; wholly; all$
276,明治,めいじ,1. Meiji era (1868.9.8-1912.7.30)$2. Meiji period$
277,明治,めいじ,1. Meiji$
278,生,き,1. pure; undiluted; raw; crude$
279,生,なま,1. raw; uncooked; fresh$2. natural; as it is; unedited; unprocessed$3. unprotected (sex)$4. live (i.e. not recorded)$5. inexperienced; unpolished; green; crude$6. impudence; sauciness$7. unpasteurized beer; draft beer; draught beer$8. blank (e.g. disk); unused$9. just a little; somehow; vaguely; partially; somewhat; half-; semi-$10. insufficient; incomplete; half-baked; half-hearted; perfunctory$11. cash$12. tipsiness$
280,生,せい,1. life; living$2. I; me; myself$3. student$
281,生,いく,1. vital; virile; lively$
